1624801588991	GET 	 body: {}	/	 query: {} 	304 	[4ms]
1624805327698	POST 	 body: {"title":"Autotest board","columns":[{"title":"Backlog","order":1},{"title":"Sprint","order":2}]}	/boards	 query: {} 	500 	[1ms]
1624805327701	POST 	 body: {"title":"Autotest task","order":0,"description":"Lorem ipsum","userId":null,"boardId":null,"columnId":null}	/boards/undefined/tasks	 query: {} 	500 	[1ms]
1624805327703	PUT 	 body: {"error":"not authorized","title":"Autotest updated board"}	/boards/undefined	 query: {} 	500 	[1ms]
1624805327705	PUT 	 body: {"error":"not authorized","title":"Autotest updated task"}	/boards/undefined/tasks/undefined	 query: {} 	500 	[1ms]
1624805327707	POST 	 body: {"title":"Autotest board","columns":[{"title":"Backlog","order":1},{"title":"Sprint","order":2}]}	/boards	 query: {} 	500 	[1ms]
1624805327708	GET 	 body: {}	/boards/undefined/tasks/undefined	 query: {} 	500 	[1ms]
1624805327717	POST 	 body: {"title":"Autotest board","columns":[{"title":"Backlog","order":1},{"title":"Sprint","order":2}]}	/boards	 query: {} 	500 	[2ms]
1624805327720	DELETE 	 body: {}	/boards/undefined	 query: {} 	500 	[1ms]
1624805327721	DELETE 	 body: {}	/boards/undefined	 query: {} 	500 	[1ms]
1624805327224	GET 	 body: {}	/boards/12345/tasks	 query: {} 	200 	[25543ms]
1624805347222	DELETE 	 body: {}	/users/12345	 query: {} 	200 	[5547ms]
1624805347222	DELETE 	 body: {}	/boards/12345	 query: {} 	200 	[5548ms]
1624805342217	PUT 	 body: {"name":"TEST_USER","login":"test_user","password":"T35t_P@55w0rd"}	/users/12345	 query: {} 	200 	[10553ms]
1624805342216	PUT 	 body: {"title":"Autotest board","columns":[{"title":"Backlog","order":1},{"title":"Sprint","order":2}]}	/boards/12345	 query: {} 	200 	[10554ms]
1624805337207	POST 	 body: {"name":"TEST_USER","login":"test_user","password":"T35t_P@55w0rd"}	/users	 query: {} 	200 	[15563ms]
1624805337208	POST 	 body: {"title":"Autotest board","columns":[{"title":"Backlog","order":1},{"title":"Sprint","order":2}]}	/boards	 query: {} 	200 	[15563ms]
1624805332197	GET 	 body: {}	/users/123	 query: {} 	200 	[20574ms]
1624805332198	GET 	 body: {}	/boards/12345	 query: {} 	200 	[20573ms]
1624805327212	GET 	 body: {}	/users	 query: {} 	200 	[25560ms]
1624805327211	GET 	 body: {}	/boards	 query: {} 	200 	[25561ms]
1624805347242	DELETE 	 body: {}	/boards/12345/tasks/12345	 query: {} 	200 	[5530ms]
1624805342237	PUT 	 body: {"title":"Autotest task","order":0,"description":"Lorem ipsum","userId":null,"boardId":null,"columnId":null}	/boards/12345/tasks/12345	 query: {} 	200 	[10535ms]
1624805337228	POST 	 body: {"title":"Autotest task","order":0,"description":"Lorem ipsum","userId":null,"boardId":null,"columnId":null}	/boards/12345/tasks	 query: {} 	200 	[15546ms]
1624805332218	GET 	 body: {}	/boards/12345/tasks/12345	 query: {} 	200 	[20556ms]
1624805467699	DELETE 	 body: {}	/users/1ae8a285-823c-475e-99c8-6cfb04634044	 query: {} 	401 	[1ms]
1624813337928	POST 	 body: {"login":"admin","password":"admin"}	/login	 query: {} 	403 	[90ms]
1624813513116	POST 	 body: {"login":"admin","password":"admin"}	/login	 query: {} 	403 	[69ms]
1624813712188	POST 	 body: {"name":"123","login":"admin","password":"admin"}	/login	 query: {} 	403 	[71ms]
1624813809223	POST 	 body: {"name":"123","login":"admin","password":"$2b$05$k8uAmEpSk5apXd1DYb9jgu8BK.SJLFU/YIU3EN9L5e52.33m7xYnm"}	/login/add-user	 query: {} 	500 	[63ms]
1624813823139	POST 	 body: {"name":"123","login":"admin1","password":"$2b$05$aeylQfCjOJP7E1iszzIWHOdl0Hq987PvLFHGZbsJ4q4CkeToDFWT6"}	/login/add-user	 query: {} 	500 	[62ms]
1624813828332	POST 	 body: {"name":"123","login":"admin01","password":"$2b$05$64VexT.5Rx4jBtRIrBg6Vu6lZ4QvRtK89UaA1innpjm7tTlpobdlm","id":"69ab11d7-b6c1-4864-9826-1e2126bea7b7"}	/login/add-user	 query: {} 	201 	[8ms]
1624813889379	POST 	 body: {"login":"admin","password":"admin"}	/login	 query: {} 	403 	[47ms]
1624813919205	POST 	 body: {"login":"admin","password":"admin"}	/login	 query: {} 	403 	[47ms]
1624813923588	POST 	 body: {"login":"admin01","password":"admin"}	/login	 query: {} 	201 	[4ms]
1624813939235	POST 	 body: {"login":"admin","password":"admin"}	/login	 query: {} 	403 	[48ms]
1624813968863	POST 	 body: {"name":"123","login":"admin","password":"$2b$05$W972MqFXE6G2Dk8wffR4SuFEiZYI5ye69sgzTf18npDwRVomzlJ9q"}	/login/add-user	 query: {} 	500 	[54ms]
1624814066244	POST 	 body: {"name":"123","login":"admin","password":"$2b$05$hpXiqtlM3PxmtRmeDY/q0.wwQa8.yrrZufv.toOY3vF/2Gb9vdIri","id":"118b5716-37e4-4130-8d90-cf6cf2934481"}	/login/add-user	 query: {} 	201 	[21ms]
1624814110990	DELETE 	 body: {}	/users/118b5716-37e4-4130-8d90-cf6cf2934481	 query: {} 	302 	[162ms]
1624814111178	GET 	 body: {}	/users/404	 query: {} 	302 	[5ms]
1624814113006	DELETE 	 body: {}	/users/118b5716-37e4-4130-8d90-cf6cf2934481	 query: {} 	302 	[15ms]
1624814120512	DELETE 	 body: {}	/users/118b5716-37e4-4130-8d90-cf6cf2934481	 query: {} 	302 	[3ms]
1624814190191	POST 	 body: {"login":"admin","password":"admin"}	/login	 query: {} 	403 	[52ms]
1624814196046	POST 	 body: {"name":"123","login":"admin","password":"$2b$05$fe2rk/Cix7lNauSrGUWJ3O264OJQ75W8kN7ajA45GZK/k6EihFXyS","id":"473ed66b-fea1-4225-ad66-26653f227dc2"}	/login/add-user	 query: {} 	201 	[9ms]
1624814220032	POST 	 body: {"login":"admin","password":"admin"}	/login	 query: {} 	201 	[67ms]
1624814259293	GET 	 body: {}	/users/473ed66b-fea1-4225-ad66-26653f227dc2	 query: {} 	302 	[67ms]
1624814260637	GET 	 body: {}	/users/473ed66b-fea1-4225-ad66-26653f227dc2	 query: {} 	200 	[4ms]
1624814295619	POST 	 body: {"login":"admin","password":"admin"}	/login	 query: {} 	201 	[96ms]
1624814295628	POST 	 body: {"login":"admin","password":"admin"}	/login	 query: {} 	201 	[88ms]
1624814295643	POST 	 body: {"login":"admin","password":"admin"}	/login	 query: {} 	201 	[74ms]
1624814295723	POST 	 body: {"title":"Autotest board","columns":[{"title":"Backlog","order":1},{"title":"Sprint","order":2}]}	/boards	 query: {} 	302 	[3ms]
1624814295727	POST 	 body: {"title":"Autotest board","columns":[{"title":"Backlog","order":1},{"title":"Sprint","order":2}]}	/boards	 query: {} 	302 	[5ms]
1624814295736	GET 	 body: {}	/boards	 query: {} 	302 	[8ms]
1624814295778	GET 	 body: {}	/boards	 query: {} 	302 	[2ms]
1624814295812	POST 	 body: {"title":"Autotest board","columns":[{"title":"Backlog","order":1},{"title":"Sprint","order":2}]}	/boards	 query: {} 	302 	[101ms]
1624814295730	GET 	 body: {}	/users	 query: {} 	200 	[188ms]
1624814295739	POST 	 body: {"title":"Autotest task","order":0,"description":"Lorem ipsum","userId":null,"boardId":"undefined","columnId":null}	/boards/undefined/tasks	 query: {} 	302 	[184ms]
1624814295924	POST 	 body: {"title":"Autotest board","columns":[{"title":"Backlog","order":1},{"title":"Sprint","order":2}]}	/boards	 query: {} 	302 	[53ms]
1624814295979	POST 	 body: {"name":"TEST_USER","login":"test_user","password":"T35t_P@55w0rd"}	/users	 query: {} 	302 	[6ms]
1624814295982	GET 	 body: {}	/boards/undefined/tasks	 query: {} 	302 	[8ms]
1624814295987	PUT 	 body: {"title":"Autotest updated board","id":"undefined"}	/boards/undefined	 query: {} 	302 	[6ms]
1624814296000	POST 	 body: {"title":"Autotest board","columns":[{"title":"Backlog","order":1},{"title":"Sprint","order":2}]}	/boards	 query: {} 	302 	[3ms]
1624814296007	POST 	 body: {"title":"Autotest board","columns":[{"title":"Backlog","order":1},{"title":"Sprint","order":2}]}	/boards	 query: {} 	302 	[53ms]
1624814296063	POST 	 body: {"name":"TEST_USER","login":"test_user","password":"T35t_P@55w0rd"}	/users	 query: {} 	302 	[36ms]
1624814296064	GET 	 body: {}	/boards/undefined/tasks	 query: {} 	302 	[36ms]
1624814296091	DELETE 	 body: {}	/boards/undefined	 query: {} 	302 	[18ms]
1624814296119	POST 	 body: {"name":"TEST_USER","login":"test_user","password":"T35t_P@55w0rd"}	/users	 query: {} 	302 	[70ms]
1624814296123	POST 	 body: {"title":"Autotest task","order":0,"description":"Lorem ipsum","userId":null,"boardId":"undefined","columnId":null}	/boards/undefined/tasks	 query: {} 	302 	[67ms]
1624814296195	POST 	 body: {"title":"Autotest task","order":0,"description":"Lorem ipsum","userId":null,"boardId":"undefined","columnId":null}	/boards/undefined/tasks	 query: {} 	302 	[3ms]
1624814296196	PUT 	 body: {"name":"Autotest updated TEST_USER","login":"test_user","password":"T35t_P@55w0rd","id":"undefined"}	/users/undefined	 query: {} 	302 	[3ms]
1624814296200	PUT 	 body: {"title":"Autotest updated task","id":"undefined","boardId":"undefined"}	/boards/undefined/tasks/undefined	 query: {} 	302 	[4ms]
1624814296205	POST 	 body: {"name":"TEST_USER","login":"test_user","password":"T35t_P@55w0rd"}	/users	 query: {} 	302 	[4ms]
1624814296212	GET 	 body: {}	/boards/undefined/tasks/undefined	 query: {} 	302 	[4ms]
1624814296216	DELETE 	 body: {}	/users/undefined	 query: {} 	302 	[3ms]
1624814296220	DELETE 	 body: {}	/boards/undefined	 query: {} 	302 	[4ms]
1624814296228	POST 	 body: {"name":"TEST_USER","login":"test_user","password":"T35t_P@55w0rd"}	/users	 query: {} 	302 	[1ms]
1624814295568	GET 	 body: {}	/boards/12345/tasks	 query: {} 	200 	[25692ms]
1624814315601	DELETE 	 body: {}	/boards/12345/tasks/12345	 query: {} 	200 	[5663ms]
1624814310587	PUT 	 body: {"title":"Autotest task","order":0,"description":"Lorem ipsum","userId":null,"boardId":null,"columnId":null}	/boards/12345/tasks/12345	 query: {} 	200 	[10678ms]
1624814305591	POST 	 body: {"title":"Autotest task","order":0,"description":"Lorem ipsum","userId":null,"boardId":null,"columnId":null}	/boards/12345/tasks	 query: {} 	200 	[15675ms]
1624814300566	GET 	 body: {}	/boards/12345/tasks/12345	 query: {} 	200 	[20701ms]
1624814315585	DELETE 	 body: {}	/users/12345	 query: {} 	200 	[5685ms]
1624814310585	PUT 	 body: {"name":"TEST_USER","login":"test_user","password":"T35t_P@55w0rd"}	/users/12345	 query: {} 	200 	[10687ms]
1624814305626	POST 	 body: {"name":"TEST_USER","login":"test_user","password":"T35t_P@55w0rd"}	/users	 query: {} 	200 	[15648ms]
1624814300567	GET 	 body: {}	/users/123	 query: {} 	200 	[20709ms]
1624814295613	GET 	 body: {}	/users	 query: {} 	200 	[25667ms]
1624814315625	DELETE 	 body: {}	/boards/12345	 query: {} 	200 	[5656ms]
1624814310623	PUT 	 body: {"title":"Autotest board","columns":[{"title":"Backlog","order":1},{"title":"Sprint","order":2}]}	/boards/12345	 query: {} 	200 	[10659ms]
1624814305634	POST 	 body: {"title":"Autotest board","columns":[{"title":"Backlog","order":1},{"title":"Sprint","order":2}]}	/boards	 query: {} 	200 	[15648ms]
1624814300574	GET 	 body: {}	/boards/12345	 query: {} 	200 	[20709ms]
1624814295606	GET 	 body: {}	/boards	 query: {} 	200 	[25677ms]
1624816634248	POST 	 body: {"login":"admin","password":"admin"}	/login	 query: {} 	201 	[48ms]
1624816672685	GET 	 body: {}	/users	 query: {} 	200 	[66ms]
1624816689367	GET 	 body: {}	/users/3fc29389-4b47-4378-885e-898d8b34c564	 query: {} 	200 	[67ms]
1624816706979	POST 	 body: {"login":"admin","password":"admin"}	/login	 query: {} 	201 	[73ms]
1624816706997	POST 	 body: {"login":"admin","password":"admin"}	/login	 query: {} 	201 	[55ms]
1624816707060	POST 	 body: {"title":"Autotest board","columns":[{"title":"Backlog","order":1},{"title":"Sprint","order":2}]}	/boards	 query: {} 	302 	[2ms]
1624816707062	GET 	 body: {}	/users	 query: {} 	302 	[3ms]
1624816707067	GET 	 body: {}	/boards	 query: {} 	302 	[32ms]
1624816707025	POST 	 body: {"login":"admin","password":"admin"}	/login	 query: {} 	201 	[121ms]
1624816707147	POST 	 body: {"name":"TEST_USER","login":"test_user","password":"T35t_P@55w0rd"}	/users	 query: {} 	302 	[5ms]
1624816707148	GET 	 body: {}	/boards	 query: {} 	302 	[6ms]
1624816707159	POST 	 body: {"title":"Autotest board","columns":[{"title":"Backlog","order":1},{"title":"Sprint","order":2}]}	/boards	 query: {} 	302 	[5ms]
1624816707160	POST 	 body: {"name":"TEST_USER","login":"test_user","password":"T35t_P@55w0rd"}	/users	 query: {} 	302 	[5ms]
1624816707166	POST 	 body: {"title":"Autotest board","columns":[{"title":"Backlog","order":1},{"title":"Sprint","order":2}]}	/boards	 query: {} 	302 	[5ms]
1624816707169	POST 	 body: {"title":"Autotest task","order":0,"description":"Lorem ipsum","userId":null,"boardId":"undefined","columnId":null}	/boards/undefined/tasks	 query: {} 	302 	[9ms]
1624816707173	POST 	 body: {"name":"TEST_USER","login":"test_user","password":"T35t_P@55w0rd"}	/users	 query: {} 	302 	[6ms]
1624816707182	POST 	 body: {"title":"Autotest board","columns":[{"title":"Backlog","order":1},{"title":"Sprint","order":2}]}	/boards	 query: {} 	302 	[9ms]
1624816707187	GET 	 body: {}	/boards/undefined/tasks	 query: {} 	302 	[8ms]
1624816707192	PUT 	 body: {"name":"Autotest updated TEST_USER","login":"test_user","password":"T35t_P@55w0rd","id":"undefined"}	/users/undefined	 query: {} 	302 	[6ms]
1624816707199	PUT 	 body: {"title":"Autotest updated board","id":"undefined"}	/boards/undefined	 query: {} 	302 	[5ms]
1624816707208	POST 	 body: {"name":"TEST_USER","login":"test_user","password":"T35t_P@55w0rd"}	/users	 query: {} 	302 	[25ms]
1624816707255	POST 	 body: {"title":"Autotest board","columns":[{"title":"Backlog","order":1},{"title":"Sprint","order":2}]}	/boards	 query: {} 	302 	[5ms]
1624816707256	GET 	 body: {}	/boards/undefined/tasks	 query: {} 	302 	[5ms]
1624816707258	DELETE 	 body: {}	/users/undefined	 query: {} 	302 	[5ms]
1624816707269	POST 	 body: {"title":"Autotest board","columns":[{"title":"Backlog","order":1},{"title":"Sprint","order":2}]}	/boards	 query: {} 	302 	[6ms]
1624816707272	POST 	 body: {"title":"Autotest task","order":0,"description":"Lorem ipsum","userId":null,"boardId":"undefined","columnId":null}	/boards/undefined/tasks	 query: {} 	302 	[7ms]
1624816707281	POST 	 body: {"name":"TEST_USER","login":"test_user","password":"T35t_P@55w0rd"}	/users	 query: {} 	302 	[5ms]
1624816707284	DELETE 	 body: {}	/boards/undefined	 query: {} 	302 	[5ms]
1624816707286	POST 	 body: {"title":"Autotest task","order":0,"description":"Lorem ipsum","userId":null,"boardId":"undefined","columnId":null}	/boards/undefined/tasks	 query: {} 	302 	[5ms]
1624816707317	PUT 	 body: {"title":"Autotest updated task","id":"undefined","boardId":"undefined"}	/boards/undefined/tasks/undefined	 query: {} 	302 	[4ms]
1624816707326	GET 	 body: {}	/boards/undefined/tasks/undefined	 query: {} 	302 	[2ms]
1624816707330	DELETE 	 body: {}	/boards/undefined	 query: {} 	302 	[3ms]
1624816706944	GET 	 body: {}	/boards	 query: {} 	200 	[25615ms]
1624816726969	DELETE 	 body: {}	/boards/12345	 query: {} 	200 	[5594ms]
1624816721959	PUT 	 body: {"title":"Autotest board","columns":[{"title":"Backlog","order":1},{"title":"Sprint","order":2}]}	/boards/12345	 query: {} 	200 	[10606ms]
1624816716953	POST 	 body: {"title":"Autotest board","columns":[{"title":"Backlog","order":1},{"title":"Sprint","order":2}]}	/boards	 query: {} 	200 	[15613ms]
1624816711943	GET 	 body: {}	/boards/12345	 query: {} 	200 	[20625ms]
1624816726967	DELETE 	 body: {}	/boards/12345/tasks/12345	 query: {} 	200 	[5606ms]
1624816721958	PUT 	 body: {"title":"Autotest task","order":0,"description":"Lorem ipsum","userId":null,"boardId":null,"columnId":null}	/boards/12345/tasks/12345	 query: {} 	200 	[10617ms]
1624816716952	POST 	 body: {"title":"Autotest task","order":0,"description":"Lorem ipsum","userId":null,"boardId":null,"columnId":null}	/boards/12345/tasks	 query: {} 	200 	[15625ms]
1624816711942	GET 	 body: {}	/boards/12345/tasks/12345	 query: {} 	200 	[20636ms]
1624816706951	GET 	 body: {}	/boards/12345/tasks	 query: {} 	200 	[25628ms]
1624816706942	GET 	 body: {}	/users	 query: {} 	200 	[25641ms]
1624816726959	DELETE 	 body: {}	/users/12345	 query: {} 	200 	[5626ms]
1624816721949	PUT 	 body: {"name":"TEST_USER","login":"test_user","password":"T35t_P@55w0rd"}	/users/12345	 query: {} 	200 	[10637ms]
1624816716943	POST 	 body: {"name":"TEST_USER","login":"test_user","password":"T35t_P@55w0rd"}	/users	 query: {} 	200 	[15643ms]
1624816711934	GET 	 body: {}	/users/123	 query: {} 	200 	[20653ms]
1624817073589	POST 	 body: {"login":"admin","password":"admin"}	/login	 query: {} 	201 	[110ms]
1624817073733	GET 	 body: {}	/users	 query: {} 	302 	[9ms]
1624817073685	POST 	 body: {"login":"admin","password":"admin"}	/login	 query: {} 	201 	[61ms]
1624817073748	POST 	 body: {"login":"admin","password":"admin"}	/login	 query: {} 	201 	[5ms]
1624817073755	POST 	 body: {"title":"Autotest board","columns":[{"title":"Backlog","order":1},{"title":"Sprint","order":2}]}	/boards	 query: {} 	302 	[6ms]
1624817073789	POST 	 body: {"title":"Autotest board","columns":[{"title":"Backlog","order":1},{"title":"Sprint","order":2}]}	/boards	 query: {} 	302 	[10ms]
1624817073827	GET 	 body: {}	/boards	 query: {} 	302 	[5ms]
1624817073795	POST 	 body: {"name":"TEST_USER","login":"test_user","password":"$2b$05$HKvP.duCqhOovbGezxBE0..ZUMkgZRYOimBnjOqTt6FOJqqKv/Qu6"}	/users	 query: {} 	302 	[162ms]
1624817073793	POST 	 body: {"title":"Autotest task","order":0,"description":"Lorem ipsum","userId":null,"boardId":"undefined","columnId":null}	/boards/undefined/tasks	 query: {} 	302 	[165ms]
1624817073954	GET 	 body: {}	/boards	 query: {} 	302 	[7ms]
1624817073969	POST 	 body: {"name":"TEST_USER","login":"test_user","password":"$2b$05$2H/o8azu8yxmlFYnz79d5e8sngLrgT1NEjWzbPXk2gWRfzeqT.W2O"}	/users	 query: {} 	302 	[9ms]
1624817073972	GET 	 body: {}	/boards/undefined/tasks	 query: {} 	302 	[9ms]
1624817073974	POST 	 body: {"title":"Autotest board","columns":[{"title":"Backlog","order":1},{"title":"Sprint","order":2}]}	/boards	 query: {} 	302 	[9ms]
1624817073988	POST 	 body: {"name":"TEST_USER","login":"test_user","password":"$2b$05$dEtXM3SWDwPiFMxtAyc3G.87YmsIUDm4Zg8lgf90Z9pJIwFDbEIq2"}	/users	 query: {} 	302 	[10ms]
1624817073994	POST 	 body: {"title":"Autotest board","columns":[{"title":"Backlog","order":1},{"title":"Sprint","order":2}]}	/boards	 query: {} 	302 	[5ms]
1624817074003	PUT 	 body: {"name":"Autotest updated TEST_USER","login":"test_user","password":"$2b$05$2.2MMSK3siIcdj4R5wIqbOMZ/azCuOPvf8moOszYuzqMb7b46prLG","id":"undefined"}	/users/undefined	 query: {} 	302 	[9ms]
1624817074009	PUT 	 body: {"title":"Autotest updated board","id":"undefined"}	/boards/undefined	 query: {} 	302 	[7ms]
1624817074041	POST 	 body: {"name":"TEST_USER","login":"test_user","password":"$2b$05$/XIk9ObKD7Nec32SIH2COOAel/lA0Vvt.2uaQaylkofktnIPc9oJm"}	/users	 query: {} 	302 	[7ms]
1624817074044	GET 	 body: {}	/boards/undefined/tasks	 query: {} 	302 	[6ms]
1624817074045	POST 	 body: {"title":"Autotest board","columns":[{"title":"Backlog","order":1},{"title":"Sprint","order":2}]}	/boards	 query: {} 	302 	[8ms]
1624817074057	DELETE 	 body: {}	/users/undefined	 query: {} 	302 	[8ms]
1624817074060	POST 	 body: {"title":"Autotest task","order":0,"description":"Lorem ipsum","userId":null,"boardId":"undefined","columnId":null}	/boards/undefined/tasks	 query: {} 	302 	[6ms]
1624817074062	POST 	 body: {"title":"Autotest board","columns":[{"title":"Backlog","order":1},{"title":"Sprint","order":2}]}	/boards	 query: {} 	302 	[7ms]
1624817074074	POST 	 body: {"title":"Autotest task","order":0,"description":"Lorem ipsum","userId":null,"boardId":"undefined","columnId":null}	/boards/undefined/tasks	 query: {} 	302 	[5ms]
1624817074076	DELETE 	 body: {}	/boards/undefined	 query: {} 	302 	[9ms]
1624817074081	POST 	 body: {"name":"TEST_USER","login":"test_user","password":"$2b$05$aLXTaWe3FyVjVUhDb2Pzp.yxrgkBeTQhIbAjW4x0uS19B/CZHA/v2"}	/users	 query: {} 	302 	[7ms]
1624817074090	PUT 	 body: {"title":"Autotest updated task","id":"undefined","boardId":"undefined"}	/boards/undefined/tasks/undefined	 query: {} 	302 	[7ms]
1624817074100	GET 	 body: {}	/boards/undefined/tasks/undefined	 query: {} 	302 	[3ms]
1624817074106	DELETE 	 body: {}	/boards/undefined	 query: {} 	302 	[2ms]
1624817073684	GET 	 body: {}	/boards	 query: {} 	200 	[25632ms]
1624817093663	DELETE 	 body: {}	/boards/12345	 query: {} 	200 	[5657ms]
1624817088655	PUT 	 body: {"title":"Autotest board","columns":[{"title":"Backlog","order":1},{"title":"Sprint","order":2}]}	/boards/12345	 query: {} 	200 	[10666ms]
1624817083649	POST 	 body: {"title":"Autotest board","columns":[{"title":"Backlog","order":1},{"title":"Sprint","order":2}]}	/boards	 query: {} 	200 	[15674ms]
1624817078637	GET 	 body: {}	/boards/12345	 query: {} 	200 	[20688ms]
1624817093715	DELETE 	 body: {}	/users/12345	 query: {} 	200 	[5617ms]
1624817088706	PUT 	 body: {"name":"TEST_USER","login":"test_user","password":"T35t_P@55w0rd"}	/users/12345	 query: {} 	200 	[10627ms]
1624817083697	POST 	 body: {"name":"TEST_USER","login":"test_user","password":"T35t_P@55w0rd"}	/users	 query: {} 	200 	[15636ms]
1624817078687	GET 	 body: {}	/users/123	 query: {} 	200 	[20647ms]
1624817073687	GET 	 body: {}	/users	 query: {} 	200 	[25647ms]
1624817093555	DELETE 	 body: {}	/boards/12345/tasks/12345	 query: {} 	200 	[5782ms]
1624817088545	PUT 	 body: {"title":"Autotest task","order":0,"description":"Lorem ipsum","userId":null,"boardId":null,"columnId":null}	/boards/12345/tasks/12345	 query: {} 	200 	[10792ms]
1624817083540	POST 	 body: {"title":"Autotest task","order":0,"description":"Lorem ipsum","userId":null,"boardId":null,"columnId":null}	/boards/12345/tasks	 query: {} 	200 	[15798ms]
1624817078530	GET 	 body: {}	/boards/12345/tasks/12345	 query: {} 	200 	[20808ms]
1624817073544	GET 	 body: {}	/boards/12345/tasks	 query: {} 	200 	[25795ms]
1624817185754	GET 	 body: {}	/boards/12345/tasks	 query: {} 	500 	[17ms]
